2019-07-03T07:37:55Z	50.70311 -1.50191	[-0.306533, 0.0957915, -9.42588]
2019-07-03T07:37:56Z	50.70311 -1.50191	[-0.306533, -0.0383166, -9.38756]
2019-07-03T07:37:57Z	50.70311 -1.50191	[-0.268216, 0.0191583, -9.44504]
2019-07-03T07:37:58Z	50.70311 -1.50191	[-0.306533, 0.0383166, -9.44504]
2019-07-03T07:37:59Z	50.70311 -1.50191	[-0.287374, 0.287374, -9.50251]
2019-07-03T07:38:00Z	50.70311 -1.50191	[-0.210741, 0.0191583, -9.5983]
2019-07-03T07:38:01Z	50.70311 -1.50191	[-0.268216, 0.0, -9.34925]
2019-07-03T07:38:02Z	50.70311 -1.50191	[-0.402324, 0.0191583, -9.34925]
2019-07-03T07:38:03Z	50.70311 -1.50191	[-0.172425, 0.0191583, -9.3684]
2019-07-03T07:38:04Z	50.70311 -1.50191	[-0.306533, 0.0574749, -9.38756]
2019-07-03T07:38:05Z	50.70311 -1.50191	[-0.268216, 0.0191583, -9.44504]
2019-07-03T07:38:06Z	50.70311 -1.50191	[-0.229899, -0.0383166, -9.3684]
2019-07-03T07:38:07Z	50.70311 -1.50191	[-0.249058, 0.191583, -9.29177]
2019-07-03T07:38:08Z	50.70311 -1.50191	[-0.229899, -0.0191583, -9.38756]
2019-07-03T07:38:09Z	50.70311 -1.50191	[-0.344849, -0.0383166, -9.4642]
2019-07-03T07:38:10Z	50.70311 -1.50191	[-0.325691, -0.0383166, -9.40672]
2019-07-03T07:38:11Z	50.70311 -1.50191	[-0.287374, 0.0191583, -9.42588]
2019-07-03T07:38:12Z	50.70311 -1.50191	[-0.229899, -0.0191583, -9.38756]
2019-07-03T07:38:13Z	50.70311 -1.50191	[-0.249058, -0.0383166, -9.52167]
2019-07-03T07:38:14Z	50.70311 -1.50191	[-0.287374, 0.0, -9.34925]
2019-07-03T07:38:15Z	50.70311 -1.50191	[0.574749, 2.22236, -9.5983]
2019-07-03T07:38:16Z	50.70311 -1.50191	[0.0574749, 0.478957, -9.73241]
2019-07-03T07:38:17Z	50.70311 -1.50191	[0.0957915, 1.82004, -9.52167]
2019-07-03T07:38:18Z	50.70311 -1.50191	[-0.210741, -0.0957915, -9.44504]
2019-07-03T07:38:19Z	50.70311 -1.50191	[-0.383166, 0.0191583, -9.40672]
2019-07-03T07:38:20Z	50.70311 -1.50191	[-0.344849, 0.0574749, -9.33009]
2019-07-03T07:38:21Z	50.70311 -1.50191	[-0.229899, 0.0191583, -9.42588]
2019-07-03T07:38:22Z	50.70311 -1.50191	[-0.172425, 0.0191583, -9.4642]
2019-07-03T07:38:23Z	50.70311 -1.50191	[-0.306533, 0.0, -9.4642]
2019-07-03T07:38:24Z	50.70311 -1.50191	[0.517274, -3.06533, -10.2497]
2019-07-03T07:38:25Z	50.70311 -1.50192	[-0.249058, 0.287374, -9.40672]
2019-07-03T07:38:26Z	50.70311 -1.50192	[0.11495, 0.651382, -9.33009]
2019-07-03T07:38:27Z	50.70311 -1.50192	[0.11495, -0.383166, -9.52167]
2019-07-03T07:38:28Z	50.70311 -1.50192	[0.0766332, 0.0191583, -9.57915]
2019-07-03T07:38:29Z	50.70311 -1.50192	[-0.383166, 0.229899, -9.67494]
2019-07-03T07:38:30Z	50.70311 -1.50192	[-0.0574749, 0.421482, -9.29177]
2019-07-03T07:38:31Z	50.70311 -1.50192	[-0.249058, 0.229899, -9.42588]
2019-07-03T07:38:32Z	50.70311 -1.50192	[-0.153266, 0.249058, -9.6941]
2019-07-03T07:38:33Z	50.70311 -1.50192	[-0.134108, 0.191583, -9.50251]
2019-07-03T07:38:34Z	50.70311 -1.50192	[-0.268216, 0.134108, -9.42588]
2019-07-03T07:38:35Z	50.70311 -1.50192	[-0.210741, 0.325691, -9.50251]
2019-07-03T07:38:36Z	50.70311 -1.50192	[-0.325691, 0.229899, -9.33009]
2019-07-03T07:38:37Z	50.70311 -1.50192	[-0.402324, -0.172425, -9.38756]
2019-07-03T07:38:38Z	50.70311 -1.50192	[-0.383166, -0.651382, -9.34925]
2019-07-03T07:38:39Z	50.70311 -1.50192	[-0.344849, 0.478957, -9.40672]
