$PGXYZ,-18350,16046,31457
$PAXYZ,-23714,15872,-31620
$PMXYZ,-11094,15724,-25795
$PGXYZ,2622,15703,26214
$PAXYZ,22259,15887,8526
$PMXYZ,-18874,15731,7172
$PGXYZ,2622,15575,-13107
$PAXYZ,-5208,15816,-11547
$PMXYZ,15939,15720,-608
$PGXYZ,23593,16015,-5243
$PAXYZ,27724,15841,-10344
$PMXYZ,14093,15712,11786
$PGXYZ,18350,15777,-15729
$PAXYZ,31149,15863,23280
$PMXYZ,10003,15735,9017
$PGXYZ,23593,16127,23593
$PAXYZ,-31290,15836,16758
$PMXYZ,-6669,15749,314
$PGXYZ,-2621,16104,20972
$PAXYZ,-24771,15831,-14461
$PMXYZ,-24998,15751,-27641
$PGXYZ,-18350,16046,-23593
$PAXYZ,14682,15851,-910
$PMXYZ,15939,15720,-9311
$PGXYZ,5243,15950,2622
$GPRMC,113358.000,A,5038.5617,N,00123.8279,W,0.06,32.08,120120,,,A*41
$PAXYZ,-8961,15873,-15664
$PMXYZ,-11094,15724,-1531
$PGXYZ,10486,16060,13107
$PAXYZ,-8961,15873,8526
$PMXYZ,20363,15745,15875
$PGXYZ,-2621,15848,13107
$PAXYZ,4738,15834,-15664
$PMXYZ,-26655,15738,20489
$PGXYZ,-13107,16028,-31457
$PAXYZ,-21346,15853,27397
$PMXYZ,12583,15752,10864
$PGXYZ,23593,16015,23593
$PAXYZ,24628,15868,27397
$PMXYZ,30913,15750,11786
$PGXYZ,2622,16087,-7864
$GPRMC,113359.000,A,5038.5616,N,00123.8281,W,0.16,27.96,120120,,,A*44
$PAXYZ,27724,15713,3207
$PMXYZ,11660,15748,-5621
$PGXYZ,-15729,16037,-20971
$PAXYZ,-20290,15894,-16866
$PMXYZ,378,15734,-7466
$PGXYZ,-13107,16156,-18350
$PAXYZ,20875,15797,-26300
$PMXYZ,-3900,15761,19567
$PGXYZ,-15729,16037,31457
$PAXYZ,-27866,15858,-7430
$PMXYZ,29256,15737,-32652
$PGXYZ,-31457,16091,-2621
$GPRMC,113400.000,A,5038.5615,N,00123.8282,W,0.15,30.54,120120,,,A*44
$PAXYZ,4409,15785,-30417
$PMXYZ,8158,15727,-18014
$PGXYZ,-13107,16028,31457
$PAXYZ,-31290,15836,16758
$PMXYZ,8158,15727,-1531
$PGXYZ,-2621,15976,-13107
$PAXYZ,8163,15856,-16866
$PMXYZ,4467,15711,31961
$PGXYZ,-15729,16037,-2621
$PAXYZ,30821,15814,-27503
$PMXYZ,-9249,15732,-25795
$PGXYZ,-15729,16037,15729
$PAXYZ,-20290,15894,24482
$PMXYZ,30913,15750,1237
$PGXYZ,-2621,15848,15729
$GPRMC,113401.000,A,5038.5614,N,00123.8283,W,0.13,13.76,120120,,,A*42
$PAXYZ,24628,15868,8526
$PMXYZ,-28500,15730,-7466
$PGXYZ,2622,15831,10486
$PAXYZ,15738,15892,-23896
$PMXYZ,-30345,15722,30115
$PGXYZ,-5243,16001,-23593
$PAXYZ,1312,15812,-2113
$PMXYZ,20363,15745,23257
$PGXYZ,10486,16060,15729
$PAXYZ,5793,15875,28597
$PMXYZ,-12939,15716,-16169
$PGXYZ,-7864,15866,-23593
$GPRMC,113402.000,A,5038.5614,N,00123.8284,W,0.19,16.81,120120,,,A*41
$PAXYZ,24628,15868,17960
$PMXYZ,25564,15721,22334
$PGXYZ,-7864,16010,26214
$PAXYZ,27397,15792,-30417
$PMXYZ,-5159,15709,22334
$PGXYZ,7864,15813,0
$PAXYZ,-5536,15895,17960
$PMXYZ,-3314,15717,-18937
$PGXYZ,-20971,16055,10486
$PAXYZ,24628,15868,-27503
$PMXYZ,8158,15727,-17092
$PGXYZ,-7864,-17030,7864
$PAXYZ,27724,15841,-11547
$PMXYZ,-32191,15714,24181
$PGXYZ,7864,16397,5243
$GPRMC,113403.000,A,5038.5614,N,00123.8284,W,0.13,21.43,120120,,,A*40
$PAXYZ,-24771,15831,15046
$PMXYZ,-26655,15738,-18937
$PGXYZ,-7864,-16902,7864
$PAXYZ,-10344,15911,8526
$PMXYZ,-11094,15724,20489
$PGXYZ,-7864,15866,10486
$PAXYZ,20875,15797,2004
$PMXYZ,-30345,15722,11786
$PGXYZ,-5243,16001,13107
$PAXYZ,30492,15893,24482
$PMXYZ,22209,15753,23257
$PGXYZ,-20971,16055,-2621
$GPRMC,113404.000,A,5038.5614,N,00123.8284,W,0.13,35.75,120120,,,A*47
$PAXYZ,-18249,15826,-27503
$PMXYZ,27409,15729,10864
$PGXYZ,26214,16006,-15729
$PAXYZ,-22002,15883,12642
$PMXYZ,6313,15719,29192
$PGXYZ,-7864,15994,15729
$PAXYZ,-5536,15895,32714
$PMXYZ,11660,15748,9017
$PGXYZ,-18350,16046,-18350
$PAXYZ,24300,15819,-6227
$PMXYZ,-10696,15685,2160
$PGXYZ,15729,16042,15729
$PAXYZ,-22002,15883,-2113
$PMXYZ,-12939,15716,21412
$PGXYZ,18350,15905,-18350
$GPRMC,113405.000,A,5038.5613,N,00123.8284,W,0.15,22.97,120120,,,A*4D
$PAXYZ,4738,15834,29799
$PMXYZ,31499,15706,19567
$PGXYZ,-28836,16154,-20971
$PAXYZ,-22002,15883,-7430
$PMXYZ,-29947,15683,31961
$PGXYZ,26214,16118,7864
$PAXYZ,17779,15824,-18578
$PMXYZ,-14785,15708,21412
$PGXYZ,-7864,16138,-20971
$PAXYZ,20547,15876,-2113
$PMXYZ,23719,15713,-26717
$PGXYZ,13107,16051,-26214
$GPRMC,113406.000,A,5038.5612,N,00123.8285,W,0.08,3.56,120120,,,A*7C
$PAXYZ,30492,15893,-16866
$PMXYZ,-11094,15724,20489
$PGXYZ,-7864,16010,18350
$PAXYZ,-21674,15804,13843
$PMXYZ,-11094,15724,26026
$PGXYZ,18350,15905,-13107
$PAXYZ,-728,15879,8526
$PMXYZ,-11094,15724,-17092
$PGXYZ,18350,15777,0
$PAXYZ,8163,15856,3207
$PMXYZ,-7004,15701,-10234
$PGXYZ,15729,16042,15729
$PAXYZ,20547,15876,17960
$PMXYZ,14093,15712,12709
$PGXYZ,7864,16141,-23593
$GPRMC,113407.000,A,5038.5612,N,00123.8286,W,0.22,347.91,120120,,,A*7E
$PAXYZ,8163,15856,-11547
$PMXYZ,-10696,15685,24181
$PGXYZ,-7864,16010,-13107
$PAXYZ,-15482,15878,-2113
$PMXYZ,-25921,15747,-12478
$PGXYZ,-2621,15976,31457
$PAXYZ,14027,15881,-23386
$PMXYZ,-12939,15716,4929
$PGXYZ,-5243,15985,-18350
$PAXYZ,-13769,15889,-11547
$PMXYZ,-30345,15722,21412
$PGXYZ,5243,16078,-7864
$PAXYZ,31149,15863,-910
$PMXYZ,-17218,15744,20489
$PGXYZ,10486,16132,-20971
$GPRMC,113408.000,A,5038.5612,N,00123.8287,W,0.20,346.47,120120,,,A*78
$PAXYZ,20547,15876,-910
$PMXYZ,-24411,15707,4929
$PGXYZ,-5243,15985,23593
$PAXYZ,1641,15861,23280
$PMXYZ,25564,15721,13631
$PGXYZ,13107,15923,-18350
$PAXYZ,30492,15893,-3313
$PMXYZ,-3314,15717,-29486
$PGXYZ,-5243,16001,7864
$PAXYZ,-27866,15858,-16866
$PMXYZ,776,15695,21412
$PGXYZ,2622,16087,20972
$GPRMC,113409.000,A,5038.5610,N,00123.8288,W,0.01,191.16,120120,,,A*7B
$PAXYZ,-4879,15865,28597
$PMXYZ,-30345,15722,-23949
$PGXYZ,-5243,15985,0
$PAXYZ,1641,15861,-26300
$PMXYZ,21874,15705,2160
$PGXYZ,-23593,16064,26214
$PAXYZ,1641,15861,31513
$PMXYZ,-10696,15685,30115
$PGXYZ,26214,16006,5243
$PAXYZ,-18249,15826,-2113
$PMXYZ,8557,15688,1237
$PGXYZ,20972,16024,-13107
$PAXYZ,-27866,15858,-7430
$PMXYZ,-7004,15701,314
$PGXYZ,2622,15959,15729
$GPRMC,113410.000,A,5038.5610,N,00123.8289,W,0.01,198.37,120120,,,A*78
$PAXYZ,27724,15841,-15664
$PMXYZ,14093,15712,-1531
$PGXYZ,2622,16087,18350
$PAXYZ,-1783,15838,7324
$PMXYZ,-14785,15708,-25795
$PGXYZ,-13107,16028,10486
$PAXYZ,-8961,15873,28597
$PMXYZ,-20720,15723,11786
$PGXYZ,10486,15932,5243
$PAXYZ,-7248,15884,24482
$PMXYZ,29654,15698,-9311
$PGXYZ,18350,15905,31457
$GPRMC,113411.000,A,5038.5609,N,00123.8290,W,0.01,191.48,120120,,,A*78
$PAXYZ,23971,15770,-2113
$PMXYZ,10738,15744,-18937
$PGXYZ,5243,15950,10486
$PAXYZ,-8961,15873,-22183
$PMXYZ,2034,15747,-608
$PGXYZ,15729,16398,-15729
$PAXYZ,5793,15875,23280
$PMXYZ,-22565,15715,-25795
$PGXYZ,-26214,16073,18350
$PAXYZ,-23714,15872,19163
$PMXYZ,-22565,15715,10864
$PGXYZ,13107,16051,-15729
$PAXYZ,9218,15897,17960
$PMXYZ,378,15734,-10234
$PGXYZ,-26214,16073,13107
$GPRMC,113412.000,A,5038.5609,N,00123.8291,W,0.02,182.11,120120,,,A*77
$PAXYZ,-11729,15821,-22183
$PMXYZ,10003,15735,20489
$PGXYZ,-2621,16104,28836
$PAXYZ,-27866,15858,19163
$PMXYZ,6711,15680,30115
$PGXYZ,5243,16078,28836
$PAXYZ,-11401,15870,-6227
$PMXYZ,12247,15704,12709
$PGXYZ,28836,16109,0
$PAXYZ,28780,15882,-12749
$PMXYZ,20027,15697,2160
$PGXYZ,-7864,16122,-18350
$GPRMC,113413.000,A,5038.5608,N,00123.8291,W,0.01,203.79,120120,,,A*70
$PAXYZ,-14825,15848,-26300
$PMXYZ,-8850,15693,17721
$PGXYZ,-20971,16055,-5243
$PAXYZ,-11401,15870,13843
$PMXYZ,6313,15719,4929
$PGXYZ,-23593,16064,0
$PAXYZ,7506,15886,-31620
$PMXYZ,21874,15705,-17092
$PGXYZ,31457,16100,28836
$PAXYZ,14355,15802,-30417
$PMXYZ,8158,15727,-32652
$PGXYZ,5243,16078,-15729
$PAXYZ,-7248,15884,12642
$PMXYZ,-9249,15732,-13401
$PGXYZ,31457,16100,2622
$GPRMC,113414.000,A,5038.5607,N,00123.8292,W,0.01,212.15,120120,,,A*71
$PAXYZ,-18249,15826,32714
$PMXYZ,13506,15756,5851
$PGXYZ,20972,16024,-7864
$PAXYZ,-4879,15865,-31620
$PMXYZ,29989,15746,25103
$PGXYZ,-7864,16010,-7864
$PAXYZ,27724,15841,-6227
$PMXYZ,20363,15745,-28563
$PGXYZ,-2621,16104,20972
$PAXYZ,-15482,15878,-16866
$PMXYZ,14093,15712,30115
$PGXYZ,-7864,16010,-13107
$GPRMC,113415.000,A,5038.5607,N,00123.8293,W,0.01,189.05,120120,,,A*71
$PAXYZ,-26811,15899,2004
$PMXYZ,17784,15728,31961
$PGXYZ,13107,15923,31457
$PAXYZ,-24771,15831,-6227
$PMXYZ,29256,15737,24181
$PGXYZ,5243,15950,2621
$PAXYZ,28780,15882,-23386
$PMXYZ,21874,15705,4006
$PGXYZ,23593,16015,-26214
$PAXYZ,14682,15851,-19781
$PMXYZ,2621,15703,13631
$PGXYZ,-2621,15976,23593
$PAXYZ,8163,15856,-7430
$PMXYZ,4467,15711,23257
$PGXYZ,-2621,15976,-5243
$GPRMC,113416.000,A,5038.5607,N,00123.8294,W,0.01,207.84,120120,,,A*79
$PAXYZ,-8961,15873,7324
$PMXYZ,17784,15728,31037
$PGXYZ,2622,15703,-5243
$PAXYZ,-24771,15831,19163
$PMXYZ,-25921,15747,4006
$PGXYZ,13107,15795,20972
$PAXYZ,-28523,15888,7324
$PMXYZ,17784,15728,24181
$PGXYZ,10486,16132,-28836
$PAXYZ,-28523,15888,-16866
$PMXYZ,-28500,15730,26026
$PGXYZ,-18350,16046,-18350
$GPRMC,113417.000,A,5038.5606,N,00123.8294,W,0.01,176.24,120120,,,A*76
$PAXYZ,985,15891,-6227
$PMXYZ,-26256,15699,-22104
$PGXYZ,-13107,16028,5243
$PAXYZ,1641,15861,13843
$PMXYZ,-5159,15709,5851
$PGXYZ,-7864,15738,-23593
$PAXYZ,-8305,15843,4409
$PMXYZ,15939,15720,7696
$PGXYZ,-15729,16037,20972
$PAXYZ,14027,15881,23280
$PMXYZ,-12939,15716,-23949
$PGXYZ,-7864,16138,-28836
$PAXYZ,-31290,15836,17960
$PMXYZ,-9249,15732,2160
$PGXYZ,15729,15914,2622
$GPRMC,113418.000,A,5038.5606,N,00123.8295,W,0.01,216.38,120120,,,A*70
$PAXYZ,-30235,15877,27397
$PMXYZ,17784,15728,-23949
$PGXYZ,10486,15932,15729
$PAXYZ,-15153,15799,-22183
$PMXYZ,10003,15735,10864
$PGXYZ,-5243,16129,-18350
$PAXYZ,-12057,15900,22077
$PMXYZ,-11094,15724,23257
$PGXYZ,0,16096,-28836
$PAXYZ,14027,15881,20875
$PMXYZ,2223,15742,22334
$PGXYZ,7864,15941,5243
$GPRMC,113419.000,A,5038.5591,N,00123.8248,W,0.01,158.88,120120,,,A*7E
$PAXYZ,20547,15876,-22183
$PMXYZ,27409,15729,21412
$PGXYZ,-10486,16019,7864
$PAXYZ,-31290,15836,28597
$PMXYZ,-22565,15715,4929
$PGXYZ,5243,15950,-7864
$PAXYZ,1312,15812,27397
$PMXYZ,4865,15672,1237
$PGXYZ,31457,16100,7864
$GPRMC,113420.000,A,5038.5589,N,00123.8247,W,0.01,178.66,120120,,,A*70
$PAXYZ,27724,15841,-11547
$PMXYZ,-11094,15724,-6543
$PGXYZ,10486,16060,-2621
$PAXYZ,-23714,15872,-12749
$PMXYZ,-9249,15732,11786
$PGXYZ,-2621,15976,-26214
$PAXYZ,5793,15875,-6227
$PMXYZ,-30345,15722,-17092
$PGXYZ,26214,16006,-5243
$PAXYZ,21204,15846,3207
$PMXYZ,15939,15720,9017
$PGXYZ,23593,16143,2622
$PAXYZ,24628,15868,-26300
$PMXYZ,25564,15721,-26717
$PGXYZ,10486,15932,-15729
$GPRMC,113421.000,A,5038.5587,N,00123.8248,W,0.00,80.03,120120,,,A*44
$PAXYZ,-11401,15870,23280
$PMXYZ,14093,15712,21412
$PGXYZ,23593,15759,2622
$PAXYZ,-27866,15858,-23896
$PMXYZ,12247,15704,-26717
$PGXYZ,18350,16033,20972
$PAXYZ,-14825,15848,-6227
$PMXYZ,15939,15720,21412
$PGXYZ,-5243,15985,18350
$PAXYZ,-21346,15853,24482
$PMXYZ,17784,15728,21412
$PGXYZ,31457,16100,10486
$GPRMC,113422.000,A,5038.5587,N,00123.8248,W,0.01,78.17,120120,,,A*44
$PAXYZ,14682,15851,-910
$PMXYZ,10738,15744,-13401
$PGXYZ,0,16096,-18350
$PAXYZ,24628,15868,15046
$PMXYZ,21874,15705,4006
$PGXYZ,-20971,16055,-10486
$PAXYZ,-14825,15848,24482
$PMXYZ,-3314,15717,2160
$PGXYZ,15729,16042,-18350
$PAXYZ,-1783,15838,-7430
$PMXYZ,29256,15737,30115
$PGXYZ,-7864,15738,5243
$PAXYZ,-27866,15858,-910
$PMXYZ,-25921,15747,-7466
$PGXYZ,7864,15813,23593
$GPRMC,113423.000,A,5038.5586,N,00123.8248,W,0.02,197.11,120120,,,A*71
$PAXYZ,-30235,15877,17960
$PMXYZ,-7402,15740,4929
$PGXYZ,5243,16078,-10486
$PAXYZ,20547,15876,-26300
$PMXYZ,-9249,15732,14554
$PGXYZ,15729,16042,7864
$PAXYZ,-8961,15873,8526
$PMXYZ,-24411,15707,-10234
$PGXYZ,13107,-17101,23593
$PAXYZ,30821,15814,24482
$PMXYZ,29654,15698,-4697
$PGXYZ,15729,15914,23593
$GPRMC,113424.000,A,5038.5586,N,00123.8249,W,0.01,174.09,120120,,,A*70
$PAXYZ,-31290,15836,-27503
$PMXYZ,-16295,15748,-27641
$PGXYZ,2622,15959,2622
$PAXYZ,31149,15863,12642
$PMXYZ,2957,15751,20489
$PGXYZ,7864,16069,-18350
$PAXYZ,-14825,15848,-3313
$PMXYZ,10003,15735,11786
$PGXYZ,-13107,16028,7864
$PAXYZ,-30235,15877,3207
$PMXYZ,-28500,15730,-5621
$PGXYZ,23593,15887,-31457
$PAXYZ,-21346,15853,20365
$PMXYZ,31499,15706,-6543
$PGXYZ,-13107,16028,-13107
$GPRMC,113425.000,A,5038.5582,N,00123.8247,W,0.01,347.92,120120,,,A*7B
$PAXYZ,-11729,15821,-16866
$PMXYZ,14093,15712,-8389
$PGXYZ,-31457,16091,15729
$PAXYZ,31149,15863,-26300
$PMXYZ,14093,15712,10864
$PGXYZ,-7864,16010,-5243
$PAXYZ,20547,15876,13843
$PMXYZ,4467,15711,20489
$PGXYZ,-7864,15994,-10486
$PAXYZ,22259,15887,32714
$PMXYZ,29989,15746,2160
$PGXYZ,0,16168,7864
$PAXYZ,31149,15863,23280
$PMXYZ,-18874,15731,-10234
$PGXYZ,-15729,16037,26214
$GPRMC,113426.000,A,5038.5580,N,00123.8247,W,0.01,238.10,120120,,,A*79
$PAXYZ,-21346,15853,32714
$PMXYZ,4467,15711,-6543
$PGXYZ,-2621,15976,-2621
$PAXYZ,-22002,15883,27397
$PMXYZ,-1468,15725,23257
$PGXYZ,20972,16024,28836
$PAXYZ,-728,15879,-6227
$PMXYZ,8158,15727,14554
$PGXYZ,-23593,16064,13107
$PAXYZ,27397,15792,13843
$PMXYZ,2223,15742,10864
$PGXYZ,13107,15923,-20971
$GPRMC,113427.000,A,5038.5578,N,00123.8246,W,0.00,81.24,120120,,,A*48
$PAXYZ,24300,15819,22077
$PMXYZ,15939,15720,19567
$PGXYZ,-5243,16001,23593
$PAXYZ,-3825,15906,3207
$PMXYZ,21874,15705,4929
$PGXYZ,-23593,16064,26214
$PAXYZ,21204,15846,23280
$PMXYZ,10003,15735,-29486
$PGXYZ,2622,16087,13107
$PAXYZ,21204,15846,-11547
$PMXYZ,19629,15736,23257
$PGXYZ,-15729,16037,7864
$PAXYZ,-14825,15848,-16866
$PMXYZ,17784,15728,-7466
$PGXYZ,-23593,16136,-20971
$GPRMC,113428.000,A,5038.5577,N,00123.8245,W,0.01,234.31,120120,,,A*72
$PAXYZ,-31290,15836,4409
$PMXYZ,-11094,15724,-6543
$PGXYZ,-13107,16028,26214
$PAXYZ,5793,15875,-28705
$PMXYZ,-22565,15715,30115
$PGXYZ,23593,16015,7864
$PAXYZ,1312,15812,-30417
$PMXYZ,6313,15719,2160
$PGXYZ,13107,16051,20972
$PAXYZ,-8632,15794,17960
$PMXYZ,-5159,15709,-6543
$PGXYZ,-18350,16046,13107
$GPRMC,113429.000,A,5038.5575,N,00123.8245,W,0.00,174.07,120120,,,A*72
$PAXYZ,-21346,15853,-26300
$PMXYZ,20027,15697,-24872
$PGXYZ,-5243,16129,23593
$PAXYZ,-30235,15877,-7430
$PMXYZ,-30345,15722,21412
$PGXYZ,-31457,16091,-20971
